STATUS	https://gamesdb.launchbox-app.com/	200
STATUS	https://gamesdb.launchbox-app.com/Metadata.zip	200
STATUS	https://images.launchbox-app.com/	404
STATUS	https://gamesdb.launchbox-app.com/games/search?search=pokemon	200
GAME	173424	Pokémon Holidays Hacks Halloween (Cursed Version)	Nintendo Game Boy Advance
GAME	172161	Pokémon Hollow Mysteries	Nintendo Game Boy Advance
GAME	420312	Pokémon Hypno's Lullaby	Nintendo Game Boy Advance
GAME	423253	Pokémon Inflamed Red	Nintendo Game Boy Advance
GAME	463628	Pokémon Intense Indigo	Nintendo Game Boy
GAME	204440	Pokémon Islas Doradas	Nintendo Game Boy Advance
GAME	215176	Pokémon Jade Version: Special Pikachu Edition	Nintendo Game Boy Color
GAME	172162	Pokémon Joel's Bizarre PokeVenture	Nintendo Game Boy Color
GAME	423578	Pokémon Johto Legends	Nintendo Game Boy Color
GAME	162120	Pokémon Jupiter	Nintendo Game Boy Advance
GAME	423252	Pokémon Kalos Crystal	Nintendo Game Boy Color
GAME	172164	Pokémon Kanlara Ultimate	Nintendo Game Boy Advance
GAME	204504	Pokémon Kanto Adventures	Nintendo Game Boy Advance
GAME	163489	Pokémon Korosu	Nintendo Game Boy Advance
GAME	463423	Pokémon Lazarus	Nintendo Game Boy Advance
GAME	463087	Pokémon LeafGreen Regrown	Nintendo Game Boy Advance
GAME	2314	Pokémon LeafGreen Version	Nintendo Game Boy Advance
GAME	206508	Pokémon Legends Red	Nintendo Game Boy Advance
GAME	205122	Pokémon Let's Go Eevee!	Nintendo Game Boy Advance
GAME	206425	Pokémon Let's Go Lugia!	Nintendo Game Boy Advance
GAME	205123	Pokémon Let's Go Pikachu!	Nintendo Game Boy Advance
GAME	155579	Pokémon Life	Nintendo Game Boy Advance
GAME	128292	Pokémon Light Platinum	Nintendo Game Boy Advance
GAME	165706	Pokémon Liquid Crystal	Nintendo Game Boy Advance
GAME	172220	Pokémon Liquid Ocean	Nintendo Game Boy Advance
GAME	456996	Pokémon Little Cup Red	Nintendo Game Boy
GAME	478484	Pokémon Lunatic Crystal	Nintendo Game Boy Color
GAME	172223	Pokémon Magikarp’s Adventure	Nintendo Game Boy Advance
GAME	206209	Pokémon Mansion Mystery	Nintendo Game Boy Advance
GAME	128618	Pokémon Marble	Nintendo Game Boy Advance
GAME	458404	Pokémon Marron Merda	Nintendo Game Boy Advance
GAME	462830	Pokémon Maxie's Island	Nintendo Game Boy Advance
GAME	463180	Pokémon Mega Blue	Nintendo Game Boy Advance
GAME	155061	Pokémon Mega Fire Red	Nintendo Game Boy Advance
GAME	128822	Pokémon Mega Power	Nintendo Game Boy Advance
GAME	182090	Pokémon Meowth	Nintendo Game Boy
GAME	172037	Pokémon Mirage of Tales	Nintendo Game Boy Advance
GAME	423271	Pokémon Modern Emerald	Nintendo Game Boy Advance
GAME	419173	Pokémon Moon Emerald	Nintendo Game Boy Advance
GAME	451438	Pokémon Moon Galaxy	Nintendo Game Boy Advance
GAME	2372	Pokémon Mystery Dungeon: Red Rescue Team	Nintendo Game Boy Advance
GAME	476152	Pokémon Mystery Dungeon: Red Rescue Team EX	Nintendo Game Boy Advance
GAME	206404	Pokémon Mystical	Nintendo Game Boy Advance
GAME	423250	Pokémon Mythic Legends	Nintendo Game Boy Advance
GAME	174552	Pokémon Nameless	Nintendo Game Boy Advance
GAME	128619	Pokémon Naranja	Nintendo Game Boy Advance
GAME	419820	Pokémon Naranja '99	Nintendo Game Boy
GAME	182089	Pokémon Neo: Rocket Edition	Nintendo Game Boy
GAME	423254	Pokémon Neon Blue	Nintendo Game Boy Advance
GAME	423264	Pokémon New Gold Era	Nintendo Game Boy Color
GAME	423246	Pokémon Normal Version	Nintendo Game Boy Advance
GAME	423262	Pokémon Odyssey	Nintendo Game Boy Advance
GAME	206405	Pokémon Omega Red	Nintendo Game Boy Advance
GAME	128294	Pokémon Orange	Nintendo Game Boy Color
GAME	172075	Pokémon Orange Islands	Nintendo Game Boy Advance
GAME	466767	Pokémon Orb	Nintendo Game Boy Color
GAME	128828	Pokémon Order & Chaos	Nintendo Game Boy Advance
GAME	128829	Pokémon Outlaw	Nintendo Game Boy Advance
GAME	165780	Pokémon Perfect Crystal	Nintendo Game Boy Color
GAME	423255	Pokémon Peridot Version	Nintendo Game Boy Color
GAME	457147	Pokémon Periwinkle Version: Special Blobbos Edition	Nintendo Game Boy
GAME	206403	Pokémon Pesadilla	Nintendo Game Boy Advance
GAME	198155	Pokémon Picross	Nintendo Game Boy Color
GAME	128734	Pokémon Pikachu Edition	Nintendo Game Boy Color
GAME	8639	Pokémon Pinball	Nintendo Game Boy Color
GAME	217878	Pokémon Pinball Generations	Nintendo Game Boy Color
GAME	3533	Pokémon Pinball: Ruby & Sapphire	Nintendo Game Boy Advance
GAME	145867	Pokémon Pink	Nintendo Game Boy Color
GAME	455839	Pokémon Pink Version: Special Clefairy Edition	Nintendo Game Boy
GAME	462837	Pokémon Pisces	Nintendo Game Boy Advance
GAME	463634	Pokémon Play as Blue!	Nintendo Game Boy
GAME	419738	Pokémon Polished Blue	Nintendo Game Boy
GAME	145866	Pokémon Polished Crystal	Nintendo Game Boy Color
